time;X_value;Y_value;Z_value
0,3075;-1,94415;3,48128;9,30415
0,3092;-1,93936;3,46212;9,35683
0,3103;-1,92979;3,43339;9,43823
0,3166;-1,9226;3,36156;9,47175
0,3166;-1,9226;3,36156;9,47175
0,3166;-1,925;3,3472;9,46457
0,3183;-1,925;3,3017;9,4095
0,3203;-1,91542;3,29452;9,38556
0,3226;-1,90824;3,28734;9,32331
0,3247;-1,88669;3,28016;9,285
0,3263;-1,89627;3,26579;9,18923
0,3287;-1,93697;3,28734;9,09106
0,3303;-1,95612;3,29452;9,05036
0,3376;-1,94655;3,35677;8,88994
0,3376;-1,93457;3,37353;8,82051
0,3376;-1,93457;3,37353;8,82051
0,3386;-1,90824;3,43578;8,64094
0,34;-1,93697;3,36156;8,34405
0,3427;-1,8819;3,45973;8,20757
0,3454;-1,72388;3,68;7,86759
0,3461;-1,68796;3,70155;7,69999
0,348;-1,55388;3,79493;7,38634
0,352;-1,44854;3,87873;7,04156
0,3577;-1,16841;4,0966;6,28018
0,3577;-1,16841;4,0966;6,28018
0,3577;-1,10376;4,15886;6,06949
0,3586;-1,05588;4,21871;5,87555
0,3603;-1,01038;4,31209;5,53317
0,3624;-1,00799;4,30969;5,39909
0,3644;-0,97208;4,27618;5,25064
0,3664;-0,81405;4,20435;5,40148
0,3684;-0,68716;4,18519;5,59063
0,372;-0,3783;4,30969;6,23709
0,3793;0,19394;4,82925;8,08786
0,3794;0,27295;4,82925;8,43742
0,3794;0,27295;4,87714;8,43742
0,3794;0,38069;4,98967;8,75347
0,3807;0,59857;5,7295;9,49091
0,384;0,62012;6,42144;10,29538
0,3845;0,60096;6,64172;10,70241
0,3873;0,60815;6,90988;11,49012
0,3889;0,67519;7,04875;12,24432
0,3906;0,70152;7,06551;12,60586
0,3963;0,64885;6,89551;13,97059
0,3963;0,64885;6,89551;13,97059
0,397;0,56744;6,83565;14,2627
0,3988;0,36154;6,70158;14,71761
0,4007;0,23703;6,62256;14,90675
0,4023;-0,01676;6,4837;15,15576
0,4059;-0,22267;6,32567;15,2635
0,4076;-0,31126;6,26103;15,25632
0,409;-0,45012;6,17483;15,13661
0,412;-0,61054;6,11258;14,94028
0,4226;-0,80687;5,76541;14,37523
0,4226;-0,80687;5,76541;14,37523
0,4226;-0,80687;5,76541;14,37523
0,4226;-0,69673;5,61697;13,82454
0,4226;-0,55068;5,50683;13,09429
0,4226;-0,47885;5,45895;12,69444
0,4245;-0,38548;5,37275;11,88757
0,4271;-0,40703;5,3129;11,14295
0,4283;-0,45012;5,27698;10,83649
0,4314;-0,57223;5,20755;10,31214
0,437;-0,94813;5,03995;9,12219
0,437;-0,94813;5,03995;9,12219
0,437;-1,04869;4,96573;8,74389
0,4396;-1,17319;4,88671;8,33926
0,4401;-1,40544;4,6856;7,44859
0,4423;-1,64008;4,42223;6,52919
0,4444;-1,7574;4,28096;6,07667
0,4463;-2,03274;3,92422;5,2267
0,4483;-2,15964;3,71831;4,81249
0,4506;-2,40146;3,2634;3,98168
0,457;-2,85637;2,06386;2,49723
0,457;-2,85637;2,06386;2,49723
0,4577;-2,94975;1,74782;2,2147
0,4587;-3,18439;0,98165;1,78373
0,4599;-3,33522;0,63209;1,70951
0,4636;-3,71831;-0,0838;1,71191
0,4649;-4,17083;-0,42858;1,79331
0,4665;-4,37434;-0,95053;2,12372
0,469;-4,77179;-1,3384;2,60737
0,4703;-4,87953;-1,49163;2,8851
0,4769;-4,96573;-1,81007;3,80211
0,4769;-5,03755;-1,8412;3,98407
0,4769;-5,03755;-1,8412;3,98407
0,4789;-5,42782;-1,86275;4,34561
0,4798;-5,97611;-1,83641;4,71672
0,4818;-6,21554;-1,73345;4,92023
0,4847;-6,522;-1,52515;5,30811
0,4863;-6,66327;-1,40783;5,53317
0,4891;-6,79735;-1,13249;6,02639
0,4905;-6,84284;-0,85476;6,62256
0,4968;-6,71355;-0,3759;8,26743
0,4969;-6,71355;-0,3759;8,26743
0,4969;-6,6489;-0,23943;8,75586
0,4981;-6,55792;-0,10535;9,2419
0,5005;-6,31849;0,1245;10,1637
0,5028;-6,15807;0,2514;10,58988
0,5046;-5,69837;0,51237;11,32013
0,5081;-5,10699;0,80926;11,88279
0,5091;-4,77418;0,96968;12,08869
0,5116;-4,03914;1,21869;12,32573
0,5182;-2,69116;1,35037;12,10785
0,5183;-2,69116;1,35037;12,10785
0,5183;-2,45413;1,35755;12,00729
0,5197;-2,26977;1,3791;11,86603
0,5202;-2,05908;1,45811;11,50688
0,5233;-1,95133;1,57783;10,94662
0,5249;-1,90824;1,65923;10,58509
