time;X_value;Y_value;Z_value
0,3066;-1,17319;1,11094;10,00807
0,3066;-1,17319;1,11094;10,00807
0,3066;-1,27615;0,9625;9,47893
0,3094;-1,38629;0,79011;9,05754
0,3096;-1,40065;0,76617;9,13176
0,3126;-1,31685;0,81884;9,69681
0,314;-1,1301;0,88109;10,26186
0,3158;-1,01038;0,93616;10,46777
0,3181;-0,72547;1,05588;10,72635
0,3193;-0,50759;1,13489;10,80776
0,3261;-0,42858;1,17559;10,85325
0,3266;-0,42858;1,17559;10,85325
0,3267;-0,42858;1,17559;10,85325
0,3282;-0,51956;1,16122;10,8293
0,3297;-0,90504;0,87152;10,26665
0,3325;-1,15165;0,65124;9,66808
0,3333;-1,52036;0,48604;9,49809
0,3354;-1,73345;0,54111;10,09187
0,3375;-1,755;0,61772;10,47016
0,3396;-1,6712;0,77335;10,98014
0,3446;-1,2546;1,01757;11,18366
0,3458;-1,10137;1,09658;11,16211
0,347;-0,94813;1,16841;11,08549
0,3476;-0,80208;1,23305;10,96578
0,3509;-0,60575;1,34558;10,65692
0,3518;-0,88349;1,01038;9,42865
0,3541;-1,04151;0,91701;8,95698
0,3569;-1,20432;0,93616;8,98571
0,3582;-1,06066;1,03193;9,24669
0,3604;-0,92658;1,22347;9,89314
0,3653;-0,20351;1,62571;10,56833
0,3653;-0,20351;1,62571;10,56833
0,3653;-0,08141;1,71909;10,60424
0,3671;0,01437;1,86275;10,54678
0,3737;-0,00718;1,91063;10,4534
0,3737;-0,10535;1,97767;10,18285
0,3737;-0,60575;1,82444;9,16528
0,3756;-0,73983;1,44375;8,67206
0,378;-0,70152;1,44135;8,71516
0,3797;-0,70152;1,47248;9,00726
0,3845;-0,22506;1,64487;9,96737
0,3846;-0,22506;1,64487;9,96737
0,3854;-0,05028;1,68796;10,05356
0,3876;0,14366;1,75261;10,12778
0,3896;0,20112;1,77895;10,0368
0,3916;0,19633;1,78613;9,953
0,3936;0,10774;1,77416;9,79977
0,3952;0,04789;1,75979;9,72315
0,3974;-0,07183;1,75979;9,6202
0,3999;-0,249;1,74303;9,62259
0,4059;-0,51716;1,69036;9,7016
0,406;-0,5028;1,66163;9,73273
0,406;-0,45731;1,64008;9,75906
0,4074;-0,40942;1,61374;9,75667
0,4095;-0,27774;1,56586;9,72076
0,4129;-0,22506;1,54191;9,72076
0,4141;-0,21309;1,42699;9,72554
0,4152;-0,16999;1,35277;9,69202
0,4173;-0,1269;1,35995;9,68484
0,4192;-0,06943;1,35995;9,66569
0,4263;-0,06943;1,3815;9,64174
0,4263;-0,06943;1,3815;9,64174
0,4264;-0,06943;1,39107;9,60822
0,4281;-0,09338;1,40305;9,52203
0,4295;-0,09338;1,39826;9,46696
0,4314;-0,08141;1,39826;9,3257
0,4337;-0,10056;1,40305;9,25148
0,4355;-0,14845;1,40305;9,12219
0,4379;-0,20351;1,40544;9,0743
0,4395;-0,21309;1,40783;9,06712
0,4455;-0,3328;1,45811;9,05515
0,4455;-0,3328;1,45811;9,05515
0,4455;-0,3759;1,48924;9,04078
0,4477;-0,49561;1,55388;8,96416
0,4495;-0,55068;1,5874;8,92825
0,4519;-0,62491;1,64487;8,81093
0,4535;-0,70392;1,69275;8,6577
0,4567;-0,74462;1,69275;8,58108
0,4634;-0,95053;1,56586;8,28419
0,4635;-1,62811;1,0439;6,83805
0,4656;-1,89148;0,96968;7,24508
0,4656;-1,89148;0,96968;7,24508
0,4656;-1,89148;0,96968;7,24508
0,4671;-1,40544;1,1301;8,45418
0,4692;-0,73265;1,38629;9,43344
0,4711;-0,45012;1,51079;9,78061
0,473;0,00958;1,76937;10,16609
0,4756;0,01197;1,81725;9,85244
0,4777;-0,28492;1,65684;9,0312
0,479;-0,84997;1,56346;7,91068
0,4844;-1,31446;1,54431;8,34644
0,4848;-1,31446;1,57543;8,77262
0,4852;-1,28333;1,6329;9,20599
0,4871;-1,20671;1,70951;9,58189
0,4893;-1,04151;1,81247;10,19482
0,4912;-0,7542;1,94655;10,48932
0,4933;-0,61293;1,99204;10,48932
0,4955;-0,27295;2,12133;10,30735
0,4974;0,0838;2,17879;10,1613
0,499;0,22027;2,19555;9,72554
0,5049;0,40942;2,11893;8,85642
0,5049;0,40942;2,11893;8,85642
0,5052;0,39266;2,0902;8,70558
0,5074;0,32802;2,05668;8,50446
0,5091;0,31365;2,04232;8,447
0,5111;0,28731;2,03034;8,39672
0,5129;0,32562;1,99683;8,4063
0,5148;0,33999;1,96809;8,38954
0,5175;0,33041;1,87951;8,24349
0,5209;0,28731;1,80768;8,15251
0,5263;0,20112;1,93457;7,95857
0,5264;0,20112;1,93457;7,95857
0,5265;0,20112;1,93457;7,95857
0,5271;0,26816;2,05908;7,99209
0,5294;0,40942;2,16203;7,95378
0,531;0,50998;2,22668;7,93702
0,5335;0,80448;2,30329;7,94899
0,5351;1,0032;2,32245;7,99688
0,5379;1,42938;2,30329;8,15011
0,5388;1,84359;2,22668;8,3632
0,5439;2,20752;2,06626;8,78938
0,5439;2,27456;1,98725;8,92825
0,5455;2,32245;1,89148;9,04318
0,547;2,35836;1,78613;9,13895
0,5492;2,38709;1,57064;9,30894
0,5514;2,39188;1,45811;9,38556
0,5533;2,38949;1,25699;9,52921
0,5556;2,36794;1,06785;9,67287
0,5572;2,36075;0,97447;9,75428
0,5592;2,3416;0,80208;9,8716
0,5647;2,50681;0,70152;9,74949
0,5648;2,50681;0,70152;9,74949
0,565;2,50202;0,68237;9,68245
0,5677;2,11654;0,63688;9,57231
0,569;1,77655;0,44773;8,61939
0,5714;1,24023;0,40463;8,27701
0,5752;1,08221;0,39266;8,35362
0,5752;0,95292;0,36872;8,72713
0,5774;1,04151;0,37351;8,87797
0,5792;1,1277;0,38548;8,91389
0,585;1,24263;0,36393;9,2419
0,585;1,24263;0,36393;9,2419
0,5881;1,16362;0,32083;9,22993
0,5882;0,9194;0,27534;9,04796
0,5897;0,77096;0,27055;8,93064
0,5917;0,5842;0,30168;8,81811
0,5955;0,59617;0,38308;8,89952
0,5955;0,66082;0,42618;8,96177
0,5971;0,85715;0,49561;9,09106
0,5989;1,07024;0,56505;9,28021
0,6053;1,26657;0,65124;9,69442
0,6053;1,32164;0,65124;9,90272
0,6068;1,32164;0,69434;9,90272
0,6078;1,43178;0,80926;10,36721
0,6096;1,5467;0,95292;10,88916
0,612;1,59459;1,01038;11,11901
0,6146;1,68796;1,09418;11,44463
0,6153;1,77416;1,15883;11,62181
0,6176;1,80768;1,19474;11,65533
0,6243;1,84838;1,24981;11,56435
0,6258;1,90824;1,27136;11,11183
0,6258;1,90824;1,27136;11,11183
0,6258;1,93218;1,27375;10,97775
0,628;1,9657;1,26178;10,8317
0,6315;2,07823;1,24263;10,59945
0,6329;2,20034;1,24742;10,40791
0,6348;2,26498;1,2546;10,32172
0,6359;2,3847;1,25221;10,13736
0,6401;2,49962;1,25221;9,92427
0,6401;2,54751;1,22587;9,80455
0,6457;2,71271;1,13489;9,18444
0,6457;2,77736;1,11094;9,10303
0,6457;2,77736;1,11094;9,10303
0,6472;2,95932;1,087;9,26584
0,6513;3,07425;1,08221;9,4526
0,6525;3,33283;1,09658;9,85484
0,6532;3,63451;1,13967;10,11581
0,655;3,77338;1,15404;10,2044
0,658;4,07266;1,14925;10,31214
0,6594;4,30969;1,10137;10,27623
0,6638;5,07347;0,85954;10,27623
0,6645;5,07347;0,85954;10,27623
0,6667;5,15487;0,79011;10,23792
0,6674;5,2267;0,70392;10,07271
0,6694;5,3512;0,73744;10,1637
0,6714;5,46374;0,75899;10,34087
0,6744;5,69598;0,80926;10,68086
0,6753;5,78217;0,83321;10,79818
0,6773;5,89231;0,87152;10,94423
0,6791;6,03597;0,85476;11,05437
0,6848;6,22033;0,72547;11,15014
0,6848;6,16765;0,63448;11,11901
0,6863;6,04315;0,52435;10,9562
0,6875;5,9378;0,45012;10,73114
0,6902;5,99526;0,35675;10,51565
0,6918;6,11498;0,30647;10,55157
0,6939;6,34722;0,23464;10,61861
0,6958;6,59623;0,27774;10,54439
0,6982;6,68482;0,2945;10,50847
0,6999;6,69439;0,2921;10,51087
0,7065;6,3999;0,25379;10,39834
0,7065;6,3999;0,25379;10,39834
0,7071;6,30173;0,28013;10,35524
0,7071;6,13413;0,34956;10,22595
0,71;6,06709;0,38308;10,14215
0,7121;5,88513;0,42618;10,02722
0,714;5,77739;0,44773;9,98891
0,7158;5,54753;0,5028;9,9099
0,7196;5,37754;0,60336;9,92188
0,7199;5,31529;0,64885;9,96258
0,7266;5,14769;0,90504;9,88117
0,7266;5,12854;0,97447;9,7878
0,7266;5,12854;0,97447;9,7878
0,7283;5,08305;1,12052;9,54837
0,7298;5,07107;1,2115;9,4526
0,7315;5,11896;1,39107;9,32091
0,735;5,18121;1,58501;9,22275
0,7356;5,21234;1,66881;9,08148
0,7375;5,33444;1,70233;8,38475
0,7396;5,46374;1,81725;7,84843
0,7449;5,80133;2,25301;7,77182
0,7449;5,80133;2,25301;7,77182
0,748;5,89949;2,33202;7,68562
0,748;6,07667;2,42061;7,42943
0,7493;6,10301;2,41582;7,17804
0,7519;6,08625;2,39667;7,06072
0,7569;6,04554;2,36554;6,88115
0,7577;5,9785;2,32245;6,7734
0,7584;5,96174;2,3009;6,74467
0,7599;5,93062;2,26259;6,81171
0,7652;5,8971;2,15964;6,98889
0,7652;5,8971;2,11893;7,04635
0,7655;5,90189;2,0495;7,09184
0,7671;5,91865;1,97528;7,1493
0,7723;5,91625;1,81965;7,24747
0,7723;5,84921;1,61853;7,32888
0,7736;5,79654;1,52036;7,34803
0,7756;5,73908;1,52276;7,12057
0,7778;5,57387;1,50839;6,5675
0,7797;5,49247;1,36713;6,35919
0,7843;5,31529;1,10855;6,67763
0,7843;5,31529;1,10855;6,67763
0,7849;5,3129;1,11573;6,74467
0,787;5,14769;0,89067;6,55313
0,7899;4,75503;0,59617;6,72073
0,7924;2,79891;-0,20112;9,07909
0,793;0,15802;-1,17319;11,04
0,7948;-0,95532;-1,56825;10,92029
0,7977;-2,01837;-1,50839;9,20599
0,8007;-1,97528;-1,0894;7,64731
0,804;-1,10855;0,70392;2,11414
0,804;-1,10855;0,70392;2,11414
0,8065;-1,12052;0,98884;1,34319
0,807;-1,5036;1,45093;0,72068
0,8089;-2,16442;1,755;1,23545
0,8136;-2,65764;1,85556;1,85556
0,8147;-4,25463;2,0495;3,66085
0,8158;-5,17403;2,28653;4,61856
0,8184;-6,99128;2,76778;6,30891
0,8198;-7,95378;3,07664;7,56591
0,8279;-7,67604;3,43578;9,76385
0,8279;-7,64731;3,44297;10,40791
0,828;-7,64731;3,44297;10,40791
0,828;-7,60661;3,50761;11,02085
0,8311;-7,20437;3,66085;11,9618
0,8322;-6,62735;3,53156;12,31854
0,8343;-6,35441;3,26819;12,71839
0,8358;-5,7726;2,93538;13,21879
0,8387;-5,49725;2,8037;13,60666
0,8405;-5,11178;2,55948;14,21242
0,846;-4,4318;1,58022;14,28664
0,846;-4,4318;1,58022;14,28664
0,846;-4,18519;1,39347;14,2196
0,8486;-3,70394;1,18756;13,99214
0,8506;-3,44536;0,81405;13,83173
0,8523;-2,93299;0,51237;13,43428
0,8545;-2,6768;0,3759;13,214
0,8567;-2,14288;0,16281;12,82852
0,8599;-1,62571;-0,03591;12,54121
0,8599;-1,3815;-0,12211;12,45741
0,8656;-0,53392;-0,36632;12,18207
0,8671;-0,53392;-0,36632;12,18207
0,8671;-0,37111;-0,43336;12,10545
0,8693;-0,11014;-0,56505;11,94743
0,8737;-0,01437;-0,61772;11,89955
0,8737;0,08141;-0,76138;11,878
0,8737;0,07662;-0,92898;11,878
0,8766;0,05267;-0,99123;11,85166
0,8799;-0,05028;-1,11573;11,80377
0,88;-0,22027;-1,22826;11,78462
0,8851;-0,73265;-1,77655;11,88279
0,8851;-0,73265;-1,77655;11,88279
0,8859;-1,0032;-2,07823;11,99532
0,8883;-1,34798;-2,43977;12,00729
0,8891;-1,65444;-2,71032;12,15573
0,8911;-1,74782;-2,77018;12,19165
0,8937;-2,03034;-3,12932;12,25869
0,8955;-1,95373;-3,08622;12,44305
0,8975;-1,7981;-2,93299;12,36164
0,8991;-1,46769;-2,79172;11,8349
0,9056;-1,27136;-2,98566;10,84606
0,9057;-1,27136;-3,10537;10,84606
0,9057;-1,28094;-3,21791;10,63776
0,9071;-1,29051;-3,29931;10,4965
0,909;-1,32882;-3,39269;10,42228
0,9116;-1,46051;-3,45494;10,45819
0,9153;-1,53234;-3,44297;10,46537
0,9154;-1,61853;-3,19157;10,77663
0,9171;-1,85556;-3,0934;11,21957
0,9195;-1,95852;-2,8013;11,50688
0,9262;-2,18837;-1,7143;12,68726
0,9271;-2,26738;-1,47248;12,90514
0,9282;-2,26738;-1,47248;12,90514
0,9289;-2,39188;-1,00081;13,28823
0,93;-2,44455;-0,77575;13,40794
0,9319;-2,51399;-0,30647;13,5061
0,9365;-2,55948;0,14126;13,30259
0,9365;-2,55948;0,38787;13,10147
0,9379;-2,58821;0,84278;12,54839
0,9399;-2,66722;1,00799;12,23474
0,9463;-3,38311;1,4222;10,91071
0,9463;-3,38311;1,4222;10,91071
0,9472;-3,60578;1,48445;10,6234
0,9487;-4,06308;1,56107;10,08469
