time;X_value;Y_value;Z_value
0,2948;0,05785;-0,00566;-0,03702
0,299;0,05663;-0,00627;-0,03702
0,299;0,05419;-0,00932;-0,03275
0,3007;0,04991;-0,00749;-0,03091
0,3027;0,04319;-0,01421;-0,02786
0,3046;0,03891;-0,01665;-0,02725
0,3067;0,03464;-0,02337;-0,02236
0,3088;0,02975;-0,03192;-0,01747
0,3139;0,02547;-0,03376;-0,01564
0,3142;0,0212;-0,04659;-0,0077
0,3149;0,0212;-0,04659;-0,0077
0,318;0,02425;-0,05269;-0,00159
0,319;0,02059;-0,05819;0,00268
0,3207;0,02059;-0,06186;0,00391
0,3228;0,02242;-0,06674;0,01063
0,3247;0,02059;-0,07285;0,01002
0,3266;0,02181;-0,07652;0,01551
0,3288;0,02303;-0,0814;0,01429
0,3347;0,02486;-0,08263;0,01857
0,3347;0,02547;-0,08324;0,01857
0,3347;0,02486;-0,0814;0,01673
0,337;0,02486;-0,07896;0,01673
0,3389;0,02364;-0,07835;0,01612
0,3415;0,02425;-0,07468;0,01551
0,3445;0,02792;-0,0753;0,01429
0,345;0,02731;-0,07407;0,01796
0,3472;0,03281;-0,07346;0,01551
0,3488;0,03158;-0,07285;0,01551
0,3557;0,03586;-0,07774;0,01063
0,3557;0,04258;-0,08018;0,01246
0,3557;0,04319;-0,08018;0,01185
0,3576;0,04808;-0,08263;0,00696
0,3589;0,05235;-0,08446;0,01002
0,3612;0,05663;-0,08873;0,00818
0,3633;0,06213;-0,08996;0,00818
0,3653;0,0664;-0,09057;0,00635
0,3675;0,07068;-0,0924;0,00635
0,3694;0,0719;-0,09545;0,00452
0,3746;0,07068;-0,09973;0,00635
0,3746;0,07373;-0,10095;0,00513
0,3756;0,07312;-0,10034;0,00574
0,3778;0,07496;-0,1034;0,00757
0,3792;0,07312;-0,10217;0,01002
0,381;0,07679;-0,10156;0,01124
0,384;0,07373;-0,09912;0,01246
0,3856;0,07007;-0,09484;0,01429
0,3877;0,07251;-0,08935;0,02101
0,3888;0,06579;-0,08202;0,02407
0,3966;0,06579;-0,07835;0,02529
0,3967;0,05968;-0,06369;0,03628
0,3967;0,05846;-0,05758;0,03811
0,3979;0,05235;-0,05575;0,04117
0,3999;0,04869;-0,04475;0,0485
0,4013;0,04197;-0,03254;0,05094
0,4034;0,0383;-0,02948;0,05827
0,4054;0,02853;-0,01849;0,06621
0,4079;0,02609;-0,01238;0,06988
0,4097;0,01998;-0,00077;0,07843
0,415;0,01448;0,01328;0,08943
0,4151;0,01081;0,02366;0,10042
0,4189;0,00715;0,02855;0,10531
0,4189;0,00532;0,04077;0,11569
0,4194;0,00043;0,04504;0,12241
0,4216;-0,00079;0,05421;0,13524
0,4242;0,00043;0,05909;0,14196
0,426;-0,00018;0,06581;0,15357
0,4272;-0,0014;0,07253;0,1664
0,4289;-0,00385;0,07437;0,17189
0,4352;0,00226;0,07681;0,18228
0,4352;-0,00201;0,07864;0,19144
0,4352;0,00226;0,07986;0,19694
0,4369;0,00043;0,07864;0,20061
0,4391;-0,00018;0,07803;0,20427
0,4409;0,00165;0,07559;0,21343
0,4431;0,00776;0,07131;0,21527
0,4454;0,01081;0,06642;0,21893
0,4471;0,01326;0,05971;0,22626
0,4512;0,01998;0,05421;0,23359
0,4548;0,02547;0,05237;0,2342
0,4548;0,03281;0,0481;0,24092
0,4557;0,03952;0,04566;0,24459
0,4572;0,05235;0,04382;0,2507
0,4588;0,06152;0,04199;0,25192
0,4619;0,06579;0,03894;0,25742
0,4636;0,08106;0,03649;0,26291
0,4647;0,09389;0,02733;0,2678
0,467;0,10122;0,02305;0,27269
0,4692;0,11405;0,01756;0,27696
0,4755;0,12688;0,01206;0,28124
0,4755;0,13848;-0,00382;0,28979
0,4755;0,14276;-0,00749;0,28918
0,4775;0,14826;-0,01299;0,29285
0,4793;0,15315;-0,02459;0,29957
0,4823;0,16109;-0,03192;0,30567
0,4837;0,1617;-0,03559;0,30506
0,4849;0,1617;-0,03864;0,31178
0,4879;0,15864;-0,04536;0,31484
0,4912;0,15742;-0,04414;0,31728
0,4962;0,15315;-0,05025;0,32156
0,4962;0,14704;-0,05086;0,32767
0,4973;0,14032;-0,05147;0,32767
0,4979;0,13604;-0,04903;0,33011
0,4989;0,12871;-0,0472;0,33133
0,5006;0,11649;-0,03864;0,33561
0,5035;0,10428;-0,02337;0,33866
0,5057;0,09756;-0,01421;0,33866
0,507;0,08045;0,00656;0,33927
0,5091;0,0719;0,02061;0,33866
0,5141;0,05663;0,04688;0,33744
0,5152;0,03708;0,07376;0,33622
0,5162;0,0267;0,08658;0,33377
0,5177;0,00226;0,10919;0,32889
0,5197;-0,01729;0,12934;0,32522
0,5217;-0,02706;0,13667;0,32522
0,5234;-0,04722;0,14828;0,31972
0,5257;-0,05577;0,15011;0,3185
0,5273;-0,07532;0,15256;0,31484
0,5296;-0,09303;0,14889;0,31056
0,537;-0,09914;0,14523;0,30995
0,537;-0,10159;0,1269;0,3069
0,537;-0,10342;0,11896;0,30751
0,5383;-0,10281;0,11285;0,30384
0,5401;-0,09914;0,10796;0,30384
0,5407;-0,09609;0,1098;0,30384
0,5437;-0,09609;0,10919;0,30628
0,5465;-0,09548;0,11041;0,30873
0,5478;-0,09059;0,10796;0,30812
0,5511;-0,08509;0,10308;0,31117
0,5561;-0,08082;0,10369;0,31606
0,5561;-0,07471;0,10552;0,32278
0,5561;-0,06982;0,10857;0,32889
0,5574;-0,06554;0,11224;0,33805
0,5591;-0,06188;0,11346;0,34416
0,5613;-0,05577;0,10735;0,35454
0,5644;-0,0521;0,10308;0,36248
0,5653;-0,04905;0,08781;0,37531
0,5665;-0,04416;0,06887;0,38875
0,5703;-0,04294;0,06337;0,39914
0,5754;-0,03989;0,04871;0,41441
0,5754;-0,04355;0,03588;0,4309
0,5767;-0,04294;0,03161;0,43945
0,5782;-0,04233;0,01817;0,46144
0,5793;-0,04294;0,01267;0,46877
0,5812;-0,046;-0,00138;0,48771
0,5833;-0,04477;-0,01726;0,50848
0,5854;-0,03989;-0,0252;0,51642
0,5878;-0,04355;-0,04109;0,53536
0,5902;-0,04905;-0,05514;0,55124
0,5955;-0,04844;-0,05941;0,5604
0,5955;-0,05272;-0,07163;0,57934
0,5955;-0,05272;-0,07163;0,57934
0,5983;-0,06005;-0,06125;0,594
0,5994;-0,0631;-0,03192;0,60805
0,6025;-0,06493;-0,02276;0,61233
0,6048;-0,06615;-0,00749;0,62332
0,6048;-0,07287;-0,00321;0,62821
0,6071;-0,07959;-0,00199;0,62821
0,6087;-0,09059;-0,00993;0,63127
0,6138;-0,10708;-0,01665;0,62638
0,6156;-0,12541;-0,03864;0,61111
0,6161;-0,1364;-0,04536;0,60255
0,6174;-0,14679;-0,04842;0,594
0,6198;-0,17672;-0,05147;0,57384
0,6212;-0,20238;-0,04659;0,55307
0,624;-0,21337;-0,04048;0,54147
0,6246;-0,24758;-0,03192;0,52009
0,6277;-0,28423;-0,0252;0,49565
0,6288;-0,30012;-0,02154;0,48282
0,6343;-0,33921;-0,01604;0,45839
0,6343;-0,37586;-0,00993;0,4364
0,6354;-0,40091;-0,00993;0,42846
0,6372;-0,4455;-0,00627;0,40647
0,6394;-0,4681;-0,00444;0,39853
0,6409;-0,50903;-0,00627;0,38386
0,6439;-0,55363;-0,00871;0,36798
0,6454;-0,57745;-0,0081;0,36371
0,6488;-0,61654;-0,01299;0,34966
0,6535;-0,63731;-0,01665;0,34416
0,6546;-0,67763;-0,02459;0,34171
0,6546;-0,7155;-0,03803;0,335
0,6561;-0,73505;-0,0472;0,33194
0,6598;-0,77354;-0,07102;0,33133
0,6598;-0,80897;-0,09607;0,33011
0,6622;-0,82851;-0,10889;0,32461
0,6632;-0,86944;-0,12783;0,31178
0,6692;-0,88594;-0,13821;0,30445
0,6692;-0,92198;-0,15837;0,28918
0,6693;-0,96291;-0,18159;0,27818
0,6751;-0,98184;-0,19075;0,27208
0,6751;-1,04049;-0,20663;0,24642
0,6772;-1,06125;-0,20969;0,23848
0,6772;-1,08325;-0,2103;0,22993
0,6794;-1,1254;-0,2103;0,20916
0,6824;-1,14433;-0,19991;0,19327
0,6842;-1,13883;-0,1596;0,1499
0,6866;-1,07775;-0,04353;0,08088
0,6878;-1,01972;0,04382;0,04545
0,6895;-0,88227;0,23197;-0,04008
0,6965;-0,76437;0,35475;-0,09994
0,6965;-0,70756;0,3572;-0,13293
0,6965;-0,70329;0,31749;-0,14453
0,6976;-0,732;0,18799;-0,15003
0,6991;-0,75765;0,1159;-0,14759
0,7008;-0,8218;-0,03498;-0,13354
0,7034;-0,85356;-0,10523;-0,12621
0,7052;-0,90976;-0,23107;-0,09689
0,7066;-0,95252;-0,33369;-0,06329
0,7094;-0,96291;-0,37034;-0,04252
0,7155;-0,96596;-0,41982;-0,00281
0,7156;-0,95008;-0,43815;0,04422
0,7156;-0,93786;-0,44365;0,07049
0,7174;-0,92992;-0,42043;0,11692
0,7327;-0,9403;-0,38256;0,13219
0,7327;-0,97573;-0,33369;0,15907
0,7327;-1,02399;-0,3117;0,16273
0,7327;-1,05331;-0,29582;0,16823
0,7327;-1,12723;-0,26222;0,18045
0,7327;-1,20359;-0,2274;0,19694
0,7356;-1,2439;-0,21274;0,20732
0,7356;-1,33798;-0,09423;0,20366
0,7356;-1,33798;-0,09423;0,20366
0,7386;-1,38929;0,00412;0,19816
0,7395;-1,44182;0,10002;0,19816
0,7407;-1,46931;0,14217;0,19938
0,7434;-1,53345;0,20876;0,20122
0,7458;-1,59393;0,27168;0,21527
0,7475;-1,6318;0,2955;0,21954
0,7501;-1,70327;0,34376;0,23665
0,7785;-1,7387;0,37186;0,24459
0,7785;-1,83461;0,51908;0,27635
0,7785;-1,86332;0,5936;0,28857
0,7785;-1,88714;0,68157;0,29834
0,7785;-1,93418;0,88926;0,31545
0,7785;-1,98488;1,10245;0,3295
0,7785;-2,01482;1,20019;0,34171
0,7785;-2,08568;1,3639;0,36248
0,7785;-2,16631;1,48791;0,38264
0,7785;-2,20602;1,54228;0,38386
0,7786;-2,28543;1,66934;0,39242
0,7786;-2,35323;1,84343;0,39975
0,7786;-2,37706;1,94789;0,39914
0,7786;-2,41004;2,17208;0,39425
0,7795;-2,41738;2,29975;0,3857
0,7813;-2,41921;2,57525;0,37104
0,7852;-2,40394;2,89168;0,34477
