time;X_value;Y_value;Z_value
Started:;окт. 16 2020;11:35:08:193; 
0,2944;-0,00903;0,28175;-0,17435
0,2965;-0,01636;0,29031;-0,15480
0,2989;-0,02735;0,30252;-0,11754
0,3006;-0,04507;0,30497;-0,08578
0,3038;-0,05240;0,30130;-0,06012
0,3055;-0,06950;0,29397;-0,02469
0,3055;-0,08844;0,27564;0,01868
0,3088;-0,09638;0,25976;0,03762
0,3136;-0,11654;0,22494;0,08282
0,3136;-0,14403;0,12904;0,15429
0,3138;-0,14403;0,12904;0,15429
0,3161;-0,16480;0,04474;0,20805
0,3192;-0,17641;-0,00291;0,23187
0,3204;-0,20145;-0,09515;0,27952
0,3220;-0,23199;-0,18189;0,31495
0,3239;-0,24910;-0,22038;0,32961
0,3255;-0,28758;-0,28941;0,34977
0,3276;-0,32057;-0,34622;0,35344
0,3337;-0,33645;-0,37493;0,35588
0,3356;-0,38471;-0,44640;0,34122
0,3356;-0,38471;-0,44640;0,34122
0,3361;-0,41159;-0,48610;0,31862
0,3377;-0,43847;-0,51787;0,29052
0,3405;-0,45557;-0,53070;0,27463
0,3416;-0,48550;-0,54108;0,23493
0,3451;-0,51727;-0,54841;0,19400
0,3463;-0,52582;-0,54963;0,18239
0,3478;-0,54964;-0,55696;0,14819
0,3549;-0,55820;-0,55880;0,13352
0,3549;-0,57469;-0,56246;0,08710
0,3549;-0,58019;-0,56368;0,07061
0,3560;-0,58569;-0,56124;0,05656
0,3584;-0,59363;-0,55086;0,01257
0,3600;-0,59668;-0,54658;-0,01125
0,3627;-0,60157;-0,54780;-0,02713
0,3658;-0,58996;-0,54841;-0,03324
0,3659;-0,58569;-0,54780;-0,03996
0,3695;-0,57164;-0,54597;-0,03874
0,3744;-0,55514;-0,53986;-0,03141
0,3744;-0,52643;-0,52031;-0,02286
0,3744;-0,51482;-0,50626;-0,01797
0,3764;-0,49039;-0,47083;-0,01003
0,3778;-0,47451;-0,45190;-0,00392
0,3800;-0,44213;-0,40547;-0,00148
0,3828;-0,41525;-0,35660;-0,00270
0,3850;-0,40304;-0,32789;-0,00025
0,3851;-0,37677;-0,27169;-0,00820
0,3876;-0,36455;-0,24603;-0,00759
0,3935;-0,34500;-0,18617;-0,01919
0,3936;-0,30347;-0,09454;-0,04118
0,3936;-0,30347;-0,09454;-0,04118
0,3967;-0,27659;-0,03040;-0,05707
0,3976;-0,24543;0,02947;-0,07906
0,4003;-0,22833;0,05573;-0,09127
0,4024;-0,19351;0,10705;-0,10960
0,4043;-0,17824;0,12965;-0,12731
0,4087;-0,14281;0,16813;-0,14442
0,4087;-0,10860;0,20478;-0,16519
0,4140;-0,09883;0,21945;-0,17618
0,4140;-0,05851;0,25793;-0,19756
0,4140;-0,04873;0,26893;-0,20612
0,4157;-0,03774;0,27931;-0,20978
