time;X_value;Y_value;Z_value
Started:;окт. 22 2020;13:07:16:122; 
0,3044;-0,01437;2,86834;9,21556
0,3061;-0,01676;2,85158;9,19641
0,3081;0,00718;2,83243;9,17965
0,3104;0,01676;2,82285;9,17965
0,3125;0,04070;2,80609;9,16050
0,3149;0,04549;2,80848;9,16050
0,3206;0,09817;2,81327;9,16528
0,3207;0,09817;2,81327;9,16528
0,3207;0,09817;2,81327;9,16528
0,3219;0,14366;2,83722;9,16528
0,3250;0,17718;2,79891;9,17726
0,3268;0,17957;2,77975;9,17726
0,3290;0,16760;2,76778;9,15331
0,3303;0,15802;2,73905;9,11979
0,3330;0,13169;2,73187;9,10303
0,3347;0,13169;2,70553;9,07670
0,3402;0,15563;2,67440;9,05754
0,3403;0,15563;2,67440;9,05754
0,3404;0,16520;2,66722;9,06712
0,3420;0,17239;2,66243;9,07430
0,3449;0,21070;2,68159;9,09106
0,3471;0,12211;2,64807;9,13655
0,3497;0,02155;2,62891;9,15331
0,3505;-0,25379;2,60018;9,18923
0,3524;-0,42139;2,60497;9,19402
0,3544;-0,77335;2,66243;9,18923
0,3608;-1,09897;2,99284;9,17247
0,3608;-1,09897;2,99284;9,17247
0,3608;-1,11094;3,07904;9,19162
0,3628;-1,06785;3,22269;9,22754
0,3659;-1,05588;3,28255;9,24908
0,3670;-1,10855;3,34959;9,27542
0,3690;-1,15165;3,35677;9,26584
0,3706;-1,21869;3,36156;9,22754
0,3732;-1,24263;3,32325;9,14134
0,3749;-1,25221;3,29692;9,08148
0,3848;-1,17559;3,15087;8,73671
0,3849;-1,17559;3,15087;8,73671
0,3849;-1,17559;3,15087;8,73671
0,3849;-1,11573;3,09580;8,66009
0,3849;-1,06066;3,07425;8,64812
0,3867;-1,04630;3,00721;8,65770
0,3889;-1,06306;2,96172;8,68403
0,3911;-1,10376;2,93059;8,69601
0,3945;-1,21150;2,90186;8,63615
0,3945;-1,28333;2,90904;8,47094
0,4005;-1,42699;2,85398;8,14053
0,4006;-1,42699;2,85398;8,14053
0,4006;-1,42220;2,85637;8,10941
0,4026;-1,36953;2,86595;8,09983
0,4045;-1,17798;2,93059;8,14293
0,4064;-1,06066;2,96172;8,19081
0,4087;-0,83800;2,99524;8,33447
0,4107;-0,69434;2,97130;8,53320
0,4125;-0,63927;2,92580;8,63854
0,4144;-0,54350;2,89707;8,84924
0,4201;-0,59857;2,93059;9,26584
0,4201;-0,59857;2,93059;9,26584
0,4202;-0,62730;2,96890;9,35922
0,4221;-0,63927;3,00481;9,45260
0,4251;-0,63688;3,06707;9,62259
0,4268;-0,55068;3,15805;9,72794
0,4298;-0,50519;3,19396;9,75906
0,4305;-0,36632;3,23227;9,78540
0,4326;-0,19394;3,24903;9,77104
0,4345;-0,11732;3,24424;9,75906
0,4402;-0,11014;2,96651;9,67766
0,4402;-0,09098;2,96651;9,64174
0,4402;-0,09098;2,93778;9,64174
0,4427;0,03352;2,91862;9,53879
0,4452;0,09577;2,88750;9,48372
0,4461;0,15323;2,83722;9,37837
0,4483;0,13408;2,77975;9,24908
0,4510;0,10056;2,74863;9,18444
0,4535;-0,00718;2,71511;9,07191
0,4546;-0,11971;2,70074;8,99290
0,4620;-0,41421;2,64089;8,94022
0,4620;-0,41421;2,63610;8,94022
0,4620;-0,41421;2,63610;8,94022
0,4631;-0,61533;2,56427;8,98332
0,4663;-0,81405;2,48526;9,03120
0,4671;-0,88588;2,46610;9,06233
0,4685;-1,01038;2,45653;9,14613
0,4707;-1,07742;2,45653;9,23472
0,4729;-1,10615;2,45413;9,28260
0,4754;-1,18038;2,45413;9,38316
0,4808;-1,33122;2,43737;9,58907
0,4809;-1,33122;2,43737;9,58907
0,4809;-1,36474;2,44695;9,62977
0,4831;-1,40544;2,45174;9,64653
0,4859;-1,58022;2,35597;9,66329
0,4872;-1,67120;2,31766;9,67766
0,4889;-1,64726;2,33921;9,65372
0,4908;-1,60177;2,35836;9,61062
0,4940;-1,58501;2,36075;9,60583
0,4945;-1,52755;2,34400;9,63217
0,5001;-1,54910;2,26498;9,76385
0,5007;-1,54910;2,26498;9,76385
0,5019;-1,51318;2,27456;9,82371
0,5031;-1,36953;2,31526;9,91469
0,5049;-1,24502;2,35836;9,92666
0,5065;-0,85476;2,27217;9,87878
0,5088;-0,65843;2,19794;9,90990
0,5108;-0,65364;2,13569;10,01286
0,5126;-0,73744;2,17879;9,91230
0,5176;-0,78772;2,22428;9,86441
0,5202;-0,90504;2,44455;9,74949
0,5202;-0,90743;2,50441;9,78061
0,5202;-0,90743;2,50441;9,78061
0,5223;-0,88109;2,63131;9,85244
0,5258;-0,82363;2,70553;9,81653
0,5268;-0,78772;2,83722;9,78301
0,5288;-0,72547;2,92580;9,65611
0,5337;-0,70152;2,95454;9,62977
0,5337;-0,66082;2,97848;9,55555
0,5345;-0,65603;2,93538;9,48851
0,5416;-0,66082;2,77736;9,26345
0,5416;-0,66082;2,77736;9,26345
0,5419;-0,65843;2,72947;9,23232
0,5428;-0,65603;2,67680;9,23472
0,5444;-0,67519;2,53314;9,21556
0,5464;-0,72547;2,40625;9,20838
0,5492;-0,96968;1,86753;9,03839
0,5502;-0,87152;1,67120;9,03839
0,5521;-0,73504;1,69994;9,09585
0,5545;-0,43815;1,84359;9,30894
0,5609;-0,03352;2,14766;9,53640
0,5610;-0,03352;2,14766;9,53640
0,5610;0,04310;2,24822;9,53640
0,5630;0,11971;2,35836;9,55795
0,5652;0,22506;2,56666;9,73512
0,5667;0,27295;2,74384;9,86681
0,5687;0,27774;2,78933;9,90033
0,5707;0,31365;2,87792;9,88357
0,5740;0,37111;2,95454;9,81413
0,5751;0,38308;2,95932;9,77822
0,5813;0,41660;2,99045;9,68724
0,5813;0,42139;2,99045;9,68484
0,5814;0,42139;2,99045;9,68484
0,5827;0,41900;2,94496;9,68963
0,5860;0,40703;2,90665;9,69202
0,5860;0,35914;2,83961;9,69921
0,5901;0,32323;2,71032;9,72076
0,5917;0,29450;2,65525;9,73273
0,5932;0,24422;2,54511;9,75428
0,5952;0,16042;2,44695;9,73512
0,5999;-0,08859;2,28174;9,56034
0,5999;-0,08859;2,28174;9,56034
0,6005;-0,08859;2,28174;9,56034
0,6025;-0,20112;2,22668;9,51964
0,6049;-0,29689;2,15006;9,51245
0,6070;-0,32083;2,12851;9,53161
0,6086;-0,34478;2,06386;9,60344
0,6108;-0,31844;2,00161;9,71118
0,6125;-0,29928;1,98485;9,76864
0,6152;-0,25619;1,96570;9,86920
0,6212;-0,05986;1,93936;9,95300
0,6213;-0,05986;1,93936;9,95300
